NUMBER CONVERSION REPORT
======================================================================

Index   Decimal        Last 2    Binary         Hex       
----------------------------------------------------------------------
1       6980368        68        1000100        44        
2       5517055        55        110111         37        
3       1336159        59        111011         3B        
4       6750185        85        1010101        55        
5       1771937        37        100101         25        
6       360952         52        110100         34        
7       5672561        61        111101         3D        
8       916583         83        1010011        53        
9       2700138        38        100110         26        
10      9645053        53        110101         35        
11      1181110        10        1010           A         
12      1492185        85        1010101        55        
13      4018595        95        1011111        5F        
14      7654888        88        1011000        58        
15      7062453        53        110101         35        
16      2478010        10        1010           A         
17      6134768        68        1000100        44        
18      8420417        17        10001          11        
19      2917489        89        1011001        59        
20      3340773        73        1001001        49        
21      1115956        56        111000         38        
22      9172192        92        1011100        5C        
23      6271996        96        1100000        60        
24      8686939        39        100111         27        
25      50986          86        1010110        56        
26      9376410        10        1010           A         
27      5962327        27        11011          1B        
28      7686891        91        1011011        5B        
29      6615183        83        1010011        53        
30      1864844        44        101100         2C        
31      3329962        62        111110         3E        
32      3942794        94        1011110        5E        
33      2614836        36        100100         24        
34      7406772        72        1001000        48        
35      2384190        90        1011010        5A        
36      398347         47        101111         2F        
37      8698503        3         11             3         
38      9551696        96        1100000        60        
39      1019556        56        111000         38        
40      1677430        30        11110          1E        
41      3479629        29        11101          1D        
42      9309008        8         1000           8         
43      5266170        70        1000110        46        
44      4094340        40        101000         28        
45      1754055        55        110111         37        
46      5861132        32        100000         20        
47      4471329        29        11101          1D        
48      8826052        52        110100         34        
49      7469325        25        11001          19        
50      1973172        72        1001000        48        
51      53145          45        101101         2D        
52      3897508        8         1000           8         
53      7773386        86        1010110        56        
54      6089829        29        11101          1D        
55      4223424        24        11000          18        
56      9761752        52        110100         34        
57      7930799        99        1100011        63        
58      3597495        95        1011111        5F        
59      9302948        48        110000         30        
60      2288712        12        1100           C         
61      197187         87        1010111        57        
62      5266939        39        100111         27        
63      221545         45        101101         2D        
64      7957027        27        11011          1B        
65      3195361        61        111101         3D        
66      7106269        69        1000101        45        
67      9633312        12        1100           C         
68      9713704        4         100            4         
69      91925          25        11001          19        
70      4418686        86        1010110        56        
71      9682250        50        110010         32        
72      2583824        24        11000          18        
73      4979126        26        11010          1A        
74      6280954        54        110110         36        
75      1228610        10        1010           A         
76      705518         18        10010          12        
77      1017653        53        110101         35        
78      500098         98        1100010        62        
79      7210727        27        11011          1B        
80      4250898        98        1100010        62        
81      4055028        28        11100          1C        
82      2754240        40        101000         28        
83      452999         99        1100011        63        
84      6831458        58        111010         3A        
85      207636         36        100100         24        
86      7280635        35        100011         23        
87      3308937        37        100101         25        
88      4303570        70        1000110        46        
89      8375055        55        110111         37        
90      1457960        60        111100         3C        
91      5197625        25        11001          19        
92      3144371        71        1000111        47        
93      6674138        38        100110         26        
94      2692106        6         110            6         
95      2276769        69        1000101        45        
96      1940971        71        1000111        47        
97      3288264        64        1000000        40        
98      4819803        3         11             3         
99      9431005        5         101            5         
100     3992019        19        10011          13        
101     8184782        82        1010010        52        
102     2847975        75        1001011        4B        
103     7891025        25        11001          19        
104     900082         82        1010010        52        
105     1831532        32        100000         20        
106     8428253        53        110101         35        
107     2905752        52        110100         34        
108     9763121        21        10101          15        
109     257890         90        1011010        5A        
110     4699761        61        111101         3D        
111     359541         41        101001         29        
112     3446150        50        110010         32        
113     4246818        18        10010          12        
114     1848840        40        101000         28        
115     938480         80        1010000        50        
116     227465         65        1000001        41        
117     3923488        88        1011000        58        
118     8915697        97        1100001        61        
119     4309094        94        1011110        5E        
120     3891251        51        110011         33        
121     8627956        56        111000         38        
122     5884613        13        1101           D         
